Subjects
"; Disordered Systems and Neural Networks (cond-mat.dis-nn); Probability (math.PR)

"
"; Dynamical Systems (math.DS); Symplectic Geometry (math.SG)

"
"; Differential Geometry (math.DG); Exactly Solvable and Integrable Systems (nlin.SI)

"
Mathematical Physics
"; Combinatorics (math.CO)

"
"; Classical Analysis and ODEs (math.CA)

"
"; Quantum Physics (quant-ph)

"
"; Classical Physics (physics.class-ph); Quantum Physics (quant-ph)

"
Mathematical Physics
Mathematical Physics
Mathematical Physics
Mathematical Physics
Mathematical Physics
"; Quantum Physics (quant-ph)

"
"; Probability (math.PR)

"
"; Other Condensed Matter (cond-mat.other); Statistical Mechanics (cond-mat.stat-mech); Quantum Physics (quant-ph)

"
"; High Energy Physics - Theory (hep-th)

"
Mathematical Physics
"; Probability (math.PR)

"
"; High Energy Physics - Theory (hep-th); Quantum Algebra (math.QA)

"
"; Representation Theory (math.RT); Quantum Physics (quant-ph)

"
"; Quantum Gases (cond-mat.quant-gas)

"
Mathematical Physics
"; Dynamical Systems (math.DS); Chaotic Dynamics (nlin.CD)

"
"; Emerging Technologies (cs.ET); Probability (math.PR); Quantum Physics (quant-ph)

"
